n,time
0,5.410001904238015e-07
1,5.310002961778082e-07
2,3.360299979249248e-05
3,3.8423000205511926e-05
4,4.2520000079093734e-05
5,4.599600015353644e-05
6,5.130599993208307e-05
7,5.496299991136766e-05
8,5.8569999964674935e-05
9,6.385999995472957e-05
10,6.883900005050236e-05
11,7.310699993468006e-05
12,7.711500029472518e-05
13,8.224500015785452e-05
14,8.587100001022918e-05
15,8.925700012696325e-05
16,9.392599986313144e-05
17,9.702199986350024e-05
18,0.00010233300008621882
19,0.00010579799982224358
20,0.00011153900004501338
21,0.00011480500006655348
22,0.00011915400000361842
23,0.00012581600003613858
24,0.00012952299994140049
25,0.0001330499999312451
26,0.0001398129998051445
27,0.00014409999994313694
28,0.00014846799967926927
29,0.0001518950002719066
30,0.00015708499995525926
31,0.00016118299981826567
32,0.0001650300000619609
33,0.0001708409999992
34,0.0001745380000102159
35,0.0001783450002221798
36,0.0001839550000113377
37,0.0001899760000014794
38,0.00019393499997022445
39,0.00019770099970628507
40,0.00020201899997118744
41,0.00020568700028888998
42,0.00020952300019416725
43,0.00021405100005722488
44,0.00021824000032211188
45,0.0002221670001745224
46,0.00022638600012214738
47,0.00023026200005915598
48,0.00023469999996450497
49,0.00025224299997717026
50,0.00025660200026322855
51,0.0002606399998512643
52,0.00026514799992582994
53,0.00026906499988399446
54,0.00027342400017005275
55,0.0002774509998744179
56,0.0002884509999603324
57,0.00029244900042613153
58,0.0002963560000353027
59,0.0003001630002472666
60,0.00030388099958145176
61,0.00030798800025877426
62,0.00031363900006908807
63,0.0003175669999109232
64,0.0003214839998690877
65,0.0003256509999118862
66,0.0003297190000921546
67,0.00033349700015605777
68,0.00033760399992388557
69,0.00034191200029454194
70,0.000345980000020063
71,0.00035022800011574873
72,0.00035397400006331736
73,0.00035768099996857927
74,0.00036133899993728846
75,0.00036765000004379544
76,0.0003713969999807887
77,0.00037498400024560397
78,0.00037897100037298515
79,0.0003830089999610209
80,0.0003868170001624094
81,0.00039062299993020133
82,0.0003945600001316052
83,0.00039841799980422365
84,0.0004019749999315536
85,0.0004060229998685827
86,0.0004108210000595136
87,0.0004148689999965427
88,0.0004206389999126259
89,0.00042495800016695284
90,0.00043040799982918543
91,0.0004342150000411493
92,0.0004391649999888614
93,0.0004429020000316086
94,0.0004468489996725111
95,0.00045009499990555923
96,0.00045379199991657515
97,0.00045748899992759107
98,0.00046126600000206963
99,0.00046556400002373266
100,0.000470784000299318
